online_order,book_table,rate,votes,location,cuisines,costing,listed_in(type)
No,No,3.9,122,Brigade Road,4,500,Delivery
Yes,No,4.3,219,Koramangala 1st Block,2,300,Delivery
No,Yes,4.3,164,Koramangala 4th Block,3,800,Delivery
No,No,4.2,1926,Indiranagar,2,850,Dine-out
No,No,3.8,39,Banashankari,3,350,Delivery
Yes,No,4.0,78,Commercial Street,5,350,Delivery
Yes,No,3.1,13,Sarjapur Road,2,900,Dine-out
Yes,Yes,4.3,863,Cunningham Road,5,1000,Delivery
Yes,No,3.7,132,JP Nagar,5,400,Dine-out
Yes,No,3.700448817952718,0,Marathahalli,2,350,Delivery
Yes,No,3.4,24,Bannerghatta Road,2,800,Dine-out
Yes,No,3.6,10,Electronic City,2,300,Delivery
No,No,4.4,222,HSR,1,150,Dine-out
No,No,3.700448817952718,0,BTM,1,300,Delivery
No,No,3.700448817952718,0,Whitefield,2,400,Delivery
Yes,Yes,4.2,468,Koramangala 5th Block,3,800,Cafes
Yes,No,4.0,492,HSR,3,800,Delivery
No,No,3.7,123,Indiranagar,2,350,Delivery
Yes,No,4.1,110,Indiranagar,2,150,Delivery
Yes,Yes,4.1,1856,Koramangala 1st Block,4,600,Dine-out
Yes,Yes,4.2,2859,Residency Road,7,800,Delivery
Yes,No,3.8,327,Koramangala 6th Block,2,500,Dine-out
Yes,No,4.0,351,BTM,2,400,Delivery
Yes,No,4.0,50,New BEL Road,4,400,Dine-out
Yes,No,3.6,23,Bannerghatta Road,1,450,Desserts
Yes,No,3.7,34,Wilson Garden,2,300,Dine-out
Yes,No,3.8,473,Koramangala 5th Block,4,500,Delivery
Yes,No,3.7,53,Koramangala 7th Block,1,500,Delivery
Yes,No,3.9,68,Koramangala 3rd Block,2,400,Desserts
No,No,3.9,85,Church Street,1,500,Delivery
Yes,No,3.8,57,BTM,3,300,Delivery
Yes,No,4.0,68,Church Street,1,250,Delivery
No,No,3.5,12,BTM,1,300,Desserts
No,No,3.8,92,Kalyan Nagar,1,700,Dine-out
Yes,No,3.700448817952718,0,Bannerghatta Road,2,250,Dine-out
No,No,3.1,24,Frazer Town,1,150,Dine-out
Yes,No,3.3,8,BTM,2,400,Delivery
No,Yes,4.1,468,JP Nagar,4,700,Dine-out
Yes,No,3.4,7,Banashankari,2,250,Delivery
Yes,No,3.2,908,Koramangala 5th Block,3,600,Delivery
No,No,3.7,46,Koramangala 1st Block,2,600,Dine-out
No,No,3.700448817952718,0,Marathahalli,1,100,Delivery
Yes,No,3.4,5,Marathahalli,3,250,Cafes
Yes,No,3.9,531,Thippasandra,4,600,Delivery
Yes,No,3.6,21,Shanti Nagar,2,150,Delivery
Yes,No,3.7,220,Kalyan Nagar,2,400,Delivery
Yes,No,3.9,89,Malleshwaram,3,500,Delivery
Yes,No,3.6,22,JP Nagar,2,350,Delivery
Yes,No,4.0,88,Sarjapur Road,4,400,Delivery
No,No,3.1,6,Banaswadi,2,150,Desserts
Yes,No,3.6,23,BTM,3,350,Delivery
Yes,No,3.8,23,BTM,6,300,Delivery
Yes,No,3.700448817952718,0,Electronic City,3,300,Dine-out
Yes,Yes,3.8,1168,HSR,5,600,Delivery
No,No,3.700448817952718,0,Whitefield,3,450,Delivery
Yes,No,4.3,169,HSR,1,400,Delivery
Yes,Yes,4.4,2867,Frazer Town,3,750,Dine-out
Yes,Yes,4.4,1262,Indiranagar,8,1000,Dine-out
Yes,No,3.6,14,Banashankari,2,350,Desserts
Yes,No,3.8,10,BTM,3,450,Delivery
Yes,No,3.700448817952718,0,Banaswadi,1,300,Dine-out
Yes,No,3.7,89,Frazer Town,3,400,Delivery
No,No,3.5,27,Sahakara Nagar,2,350,Dine-out
Yes,No,3.7,27,BTM,2,400,Dine-out
No,No,4.1,147,Frazer Town,2,700,Cafes
Yes,No,4.2,739,Cunningham Road,4,750,Cafes
Yes,No,4.3,287,Koramangala 4th Block,1,400,Delivery
Yes,No,4.1,119,Richmond Road,3,1000,Dine-out
Yes,No,3.7,43,JP Nagar,2,500,Delivery
Yes,No,3.9,783,HSR,2,300,Dine-out
Yes,Yes,4.2,680,New BEL Road,2,800,Dine-out
No,No,3.700448817952718,0,Malleshwaram,1,400,Delivery
No,No,3.7,79,HSR,5,500,Dine-out
Yes,Yes,3.9,669,Marathahalli,4,750,Delivery
Yes,No,3.8,18,Bannerghatta Road,2,700,Delivery
No,No,3.3,5,Kalyan Nagar,4,100,Dine-out
Yes,No,3.6,33,Bannerghatta Road,3,600,Delivery
Yes,No,3.5,19,Bannerghatta Road,1,500,Dine-out
Yes,No,3.8,212,HSR,4,200,Delivery
Yes,No,4.4,4884,Jayanagar,4,750,Delivery
Yes,No,3.700448817952718,0,Kammanahalli,2,250,Delivery
No,No,4.0,135,Electronic City,2,400,Dine-out
No,No,3.8,86,MG Road,4,250,Dine-out
Yes,No,4.2,444,Ulsoor,5,700,Desserts
Yes,No,3.6,132,BTM,3,600,Delivery
No,No,4.5,207,City Market,1,200,Dine-out
Yes,No,3.4,15,Banaswadi,2,400,Delivery
Yes,No,3.700448817952718,0,Electronic City,2,400,Delivery
Yes,No,3.8,34,HSR,5,350,Delivery
Yes,No,4.1,725,Koramangala 6th Block,3,700,Delivery
No,No,3.700448817952718,0,Sarjapur Road,2,500,Dine-out
Yes,No,3.8,36,HSR,3,500,Delivery
Yes,No,3.3,15,Thippasandra,2,300,Dine-out
No,No,4.2,142,Frazer Town,1,500,Desserts
No,No,3.1,22,Banaswadi,3,600,Dine-out
Yes,No,3.1,28,BTM,2,250,Delivery
Yes,No,4.0,34,Koramangala 7th Block,2,200,Delivery
Yes,No,3.700448817952718,0,KR Puram,3,250,Delivery
