online_order,book_table,rate,votes,location,cuisines,costing,listed_in(type)
Yes,No,3.6,28,Rajajinagar,3,300,Dine-out
No,No,3.8,99,Ulsoor,3,600,Delivery
Yes,No,4.0,939,BTM,2,600,Delivery
Yes,No,4.0,277,Koramangala 3rd Block,1,500,Dine-out
Yes,No,3.3,10,Seshadripuram,2,200,Delivery
No,No,4.0,1408,Koramangala 6th Block,4,1000,Dine-out
Yes,No,4.0,198,Banashankari,1,300,Delivery
Yes,No,3.9,22,JP Nagar,2,400,Dine-out
Yes,No,3.700448817952718,0,MG Road,4,800,Dine-out
Yes,No,3.0,21,Marathahalli,1,350,Dine-out
Yes,No,3.7,51,Bannerghatta Road,1,300,Delivery
Yes,No,3.3,11,Old Airport Road,2,150,Dine-out
No,No,3.7,14,Electronic City,1,100,Delivery
Yes,No,3.6,46,Banashankari,3,500,Delivery
Yes,No,4.0,510,JP Nagar,4,1000,Delivery
No,No,3.7,128,Bellandur,3,600,Delivery
Yes,No,3.9,498,Koramangala 6th Block,2,300,Delivery
Yes,No,3.6,25,Kanakapura Road,3,500,Delivery
No,No,3.700448817952718,0,Koramangala 7th Block,2,150,Desserts
Yes,No,4.1,506,Koramangala 6th Block,5,600,Delivery
No,No,3.7,21,Bellandur,2,500,Desserts
No,No,3.1,7,Banaswadi,1,400,Delivery
No,No,4.0,24,Brigade Road,5,450,Dine-out
Yes,No,3.6,207,Koramangala 5th Block,2,500,Dine-out
Yes,No,3.0,19,Bellandur,3,500,Delivery
Yes,No,3.1,5,Koramangala 4th Block,1,400,Delivery
Yes,No,3.8,134,"ITPL Main Road, Whitefield",2,500,Dine-out
Yes,Yes,4.1,1411,JP Nagar,2,1100,Dine-out
Yes,No,3.6,38,Brookefield,1,300,Delivery
Yes,No,3.7,309,HSR,1,600,Delivery
No,No,4.4,1132,Indiranagar,2,800,Desserts
Yes,No,4.1,361,Koramangala 5th Block,3,400,Delivery
Yes,No,3.4,239,BTM,2,400,Delivery
Yes,Yes,4.1,2725,BTM,3,800,Delivery
No,No,3.6,17,Whitefield,1,200,Dine-out
Yes,No,4.1,232,JP Nagar,2,500,Delivery
Yes,No,3.3,394,Koramangala 7th Block,1,400,Delivery
Yes,Yes,4.0,1519,Koramangala 3rd Block,2,900,Dine-out
Yes,No,3.5,15,Marathahalli,2,450,Delivery
No,No,3.6,115,Whitefield,2,600,Delivery
Yes,No,3.9,13,BTM,2,100,Delivery
Yes,No,3.9,20,Jayanagar,3,800,Delivery
Yes,Yes,3.9,321,Kalyan Nagar,4,750,Delivery
No,No,4.1,131,Indiranagar,2,400,Desserts
Yes,No,3.5,20,Cunningham Road,2,500,Delivery
Yes,No,3.8,31,Bannerghatta Road,1,150,Delivery
Yes,No,3.7,10,"Varthur Main Road, Whitefield",2,400,Delivery
Yes,Yes,4.2,515,Koramangala 5th Block,3,800,Dine-out
No,No,3.700448817952718,0,Lavelle Road,1,450,Delivery
Yes,No,3.9,105,Jayanagar,1,200,Delivery
Yes,No,4.3,655,Koramangala 6th Block,1,250,Delivery
Yes,No,3.7,171,Bannerghatta Road,1,300,Cafes
Yes,No,3.3,6,Commercial Street,1,400,Delivery
Yes,No,3.7,37,BTM,2,250,Delivery
Yes,No,3.9,392,Koramangala 7th Block,3,750,Delivery
Yes,Yes,4.0,561,Marathahalli,2,900,Dine-out
Yes,No,3.8,11,BTM,2,150,Delivery
No,No,3.6,84,Kalyan Nagar,3,200,Dine-out
No,No,3.700448817952718,0,Jayanagar,2,200,Dine-out
Yes,No,3.6,29,Jayanagar,2,400,Delivery
Yes,No,3.700448817952718,0,Bellandur,2,200,Delivery
Yes,No,3.6,20,Basavanagudi,2,150,Delivery
Yes,Yes,4.4,1209,Marathahalli,1,1100,Delivery
No,No,4.3,423,Bannerghatta Road,2,150,Delivery
Yes,No,3.6,26,Residency Road,2,300,Delivery
Yes,No,3.5,39,Kammanahalli,3,500,Delivery
No,No,4.2,591,Indiranagar,2,700,Cafes
Yes,No,3.7,91,Electronic City,3,200,Delivery
Yes,No,4.2,415,Banashankari,3,500,Delivery
Yes,No,3.0,16,Kammanahalli,4,550,Delivery
Yes,No,4.2,233,Lavelle Road,3,300,Delivery
No,No,3.9,43,Koramangala 5th Block,3,200,Pubs and bars
Yes,No,3.8,22,Indiranagar,2,200,Delivery
No,No,3.6,21,Whitefield,2,650,Delivery
No,No,3.3,6,Whitefield,1,800,Dine-out
Yes,No,3.4,28,Whitefield,2,500,Delivery
Yes,No,3.3,65,Brigade Road,2,900,Delivery
Yes,No,3.9,250,Malleshwaram,2,400,Delivery
No,No,3.700448817952718,0,JP Nagar,3,200,Dine-out
Yes,No,4.1,1122,Domlur,4,650,Delivery
No,No,3.700448817952718,0,Electronic City,1,300,Delivery
Yes,No,3.9,119,Ulsoor,1,600,Delivery
No,No,3.700448817952718,0,Wilson Garden,1,300,Desserts
No,No,3.6,8,Brigade Road,4,400,Delivery
No,No,3.700448817952718,0,JP Nagar,2,400,Delivery
No,No,4.0,60,HSR,2,400,Delivery
Yes,No,3.9,458,Residency Road,3,400,Delivery
No,No,3.8,73,Old Airport Road,4,400,Delivery
Yes,No,3.9,87,Ulsoor,4,500,Delivery
Yes,No,3.9,195,Brookefield,3,300,Dine-out
Yes,No,3.7,21,Koramangala 1st Block,3,300,Delivery
Yes,No,3.5,108,Marathahalli,3,300,Delivery
Yes,No,3.9,105,Jayanagar,1,200,Delivery
Yes,No,3.8,265,Richmond Road,2,850,Delivery
No,No,3.7,17,MG Road,1,200,Desserts
Yes,No,3.6,26,Ejipura,3,200,Delivery
Yes,No,4.0,138,BTM,1,250,Desserts
No,No,3.700448817952718,0,Kalyan Nagar,1,500,Desserts
Yes,No,3.5,35,Jayanagar,1,300,Delivery
Yes,No,3.4,11,Jayanagar,3,200,Dine-out
Yes,No,3.8,33,Sarjapur Road,1,200,Delivery
Yes,No,3.700448817952718,0,BTM,2,200,Delivery
Yes,No,4.1,71,HSR,4,400,Delivery
Yes,No,3.1,89,BTM,4,350,Delivery
Yes,No,3.7,77,Frazer Town,1,300,Dine-out
Yes,No,3.8,104,Banashankari,2,300,Dine-out
Yes,No,3.4,19,Ulsoor,3,400,Delivery
Yes,No,3.7,83,Marathahalli,3,600,Dine-out
Yes,No,3.9,76,Koramangala 3rd Block,3,300,Dine-out
Yes,No,3.8,577,Jayanagar,4,900,Delivery
Yes,No,3.7,195,BTM,1,400,Delivery
No,No,3.700448817952718,0,Frazer Town,1,250,Delivery
Yes,No,3.9,770,Basavanagudi,2,400,Dine-out
No,No,3.2,4,Whitefield,3,600,Dine-out
No,No,3.7,35,Kalyan Nagar,2,350,Dine-out
No,No,3.700448817952718,0,Electronic City,3,400,Delivery
No,Yes,4.3,859,Rajajinagar,4,800,Delivery
Yes,No,3.7,32,BTM,3,900,Pubs and bars
Yes,No,3.700448817952718,0,BTM,2,300,Delivery
Yes,No,3.700448817952718,0,HSR,3,400,Delivery
Yes,No,3.4,9,HSR,2,300,Delivery
Yes,No,3.4,35,BTM,5,500,Delivery
No,No,3.0,15,BTM,1,1000,Delivery
Yes,No,3.9,48,Brookefield,1,250,Desserts
Yes,No,3.5,58,Brigade Road,2,150,Delivery
Yes,Yes,3.9,54,Indiranagar,3,350,Delivery
Yes,No,3.1,7,Koramangala 5th Block,2,500,Delivery
No,No,3.5,11,New BEL Road,2,300,Delivery
Yes,Yes,4.0,205,JP Nagar,2,700,Delivery
No,No,3.4,6,HSR,2,300,Dine-out
No,No,3.7,125,Brigade Road,2,600,Dine-out
Yes,No,3.6,19,Ejipura,2,300,Delivery
Yes,No,3.3,9,Sarjapur Road,2,200,Delivery
Yes,No,3.6,23,BTM,3,150,Delivery
Yes,No,3.5,21,Koramangala 1st Block,2,350,Delivery
No,No,3.6,221,Commercial Street,2,300,Dine-out
Yes,Yes,3.9,123,Kalyan Nagar,4,800,Dine-out
Yes,No,4.3,2139,Residency Road,4,600,Dine-out
No,No,3.3,4,JP Nagar,2,200,Delivery
No,No,3.700448817952718,0,Indiranagar,1,200,Dine-out
Yes,No,3.4,257,Koramangala 1st Block,2,250,Delivery
Yes,No,3.8,12,BTM,2,300,Delivery
No,No,3.700448817952718,0,Koramangala 4th Block,2,300,Delivery
No,No,3.700448817952718,0,Brookefield,4,300,Dine-out
No,No,3.5,132,Sarjapur Road,3,300,Dine-out
No,No,3.6,30,Bellandur,2,250,Dine-out
No,No,4.1,1143,Brookefield,5,500,Dine-out
No,No,3.6,36,Basavanagudi,2,900,Delivery
No,No,4.3,73,Residency Road,2,400,Cafes
No,No,3.0,10,Sanjay Nagar,3,500,Delivery
Yes,No,4.0,39,Rajajinagar,2,500,Delivery
No,No,3.8,25,Whitefield,3,800,Desserts
No,No,3.5,7,Bellandur,2,200,Delivery
Yes,No,3.8,9,BTM,3,450,Delivery
Yes,No,3.6,15,New BEL Road,2,200,Dine-out
Yes,No,3.9,407,JP Nagar,2,500,Dine-out
Yes,No,3.0,178,Kaggadasapura,1,200,Delivery
Yes,No,3.4,7,Majestic,1,700,Delivery
Yes,No,3.8,247,Whitefield,4,550,Delivery
Yes,No,4.1,613,Koramangala 7th Block,1,500,Delivery
No,No,3.700448817952718,0,Whitefield,1,500,Delivery
Yes,No,3.8,140,Kalyan Nagar,7,650,Cafes
No,No,3.4,7,Koramangala 6th Block,2,300,Delivery
Yes,No,4.0,781,Koramangala 6th Block,4,750,Delivery
Yes,No,3.6,32,Frazer Town,2,700,Dine-out
Yes,No,4.5,141,HSR,2,400,Delivery
Yes,No,3.3,4,BTM,1,200,Delivery
No,No,3.700448817952718,0,Whitefield,1,200,Delivery
No,No,3.2,23,HSR,2,400,Dine-out
No,No,3.2,7,Jeevan Bhima Nagar,2,200,Dine-out
Yes,No,3.2,47,Koramangala 7th Block,2,300,Delivery
Yes,No,4.0,412,Koramangala 5th Block,1,300,Delivery
No,No,3.700448817952718,0,Bellandur,2,400,Desserts
Yes,No,4.1,159,Vasanth Nagar,2,300,Delivery
Yes,No,3.8,17,Nagawara,1,200,Dine-out
No,No,3.700448817952718,0,Electronic City,2,350,Delivery
Yes,No,3.5,21,Koramangala 1st Block,2,350,Dine-out
Yes,No,4.3,191,HBR Layout,7,700,Delivery
Yes,No,3.4,9,HSR,2,300,Delivery
No,No,3.700448817952718,0,Sarjapur Road,1,300,Dine-out
No,No,3.2,4,Whitefield,1,400,Delivery
Yes,No,3.4,16,BTM,3,600,Delivery
Yes,No,3.700448817952718,0,BTM,2,200,Delivery
Yes,No,3.3,5,Basavanagudi,4,800,Delivery
Yes,No,3.8,161,Jeevan Bhima Nagar,2,400,Dine-out
Yes,Yes,3.2,60,St. Marks Road,2,400,Delivery
No,Yes,3.6,277,St. Marks Road,3,800,Dine-out
Yes,No,4.0,47,Richmond Road,2,300,Delivery
Yes,No,3.3,11,Marathahalli,3,600,Delivery
No,No,3.1,7,BTM,3,300,Delivery
No,No,4.3,235,Koramangala 7th Block,2,350,Delivery
Yes,No,3.700448817952718,0,Marathahalli,2,200,Delivery
No,No,3.8,2332,St. Marks Road,4,700,Dine-out
Yes,No,3.9,317,Rajajinagar,4,800,Delivery
Yes,No,3.1,8,Sarjapur Road,3,500,Dine-out
No,No,3.3,4,Richmond Road,2,300,Desserts
No,No,3.7,32,Bellandur,1,100,Delivery
Yes,No,3.9,543,Basavanagudi,2,300,Delivery
Yes,Yes,4.2,767,Brookefield,6,700,Buffet
Yes,No,3.7,94,HSR,2,400,Dine-out
No,No,4.0,213,BTM,5,400,Dine-out
Yes,No,4.0,109,Bellandur,3,400,Delivery
No,No,3.0,1275,Indiranagar,1,400,Dine-out
Yes,No,3.6,17,Banaswadi,1,600,Dine-out
Yes,No,3.7,514,Basavanagudi,3,600,Delivery
No,No,3.6,10,Brigade Road,4,700,Buffet
Yes,No,3.6,11,BTM,2,200,Dine-out
Yes,No,3.7,423,Jayanagar,4,700,Delivery
No,No,3.6,22,Thippasandra,2,300,Dine-out
Yes,No,3.8,139,Old Airport Road,4,700,Delivery
Yes,No,4.0,154,Rajajinagar,1,500,Delivery
Yes,Yes,4.1,294,Richmond Road,4,1000,Dine-out
No,No,3.2,9,BTM,1,100,Delivery
No,No,3.5,54,Sarjapur Road,2,900,Delivery
Yes,Yes,4.1,294,Richmond Road,4,1000,Desserts
No,No,3.6,22,BTM,2,500,Dine-out
Yes,No,3.9,324,Bannerghatta Road,2,650,Delivery
No,No,3.700448817952718,0,Rajajinagar,1,400,Dine-out
No,No,3.700448817952718,0,Sarjapur Road,2,400,Dine-out
Yes,No,4.0,50,Indiranagar,3,200,Delivery
Yes,No,3.3,8,BTM,2,250,Delivery
Yes,No,4.1,778,Koramangala 1st Block,2,700,Delivery
No,No,3.4,77,Indiranagar,2,800,Dine-out
Yes,No,3.3,57,HSR,3,400,Delivery
Yes,Yes,4.1,675,Koramangala 3rd Block,3,900,Delivery
Yes,No,3.6,15,Electronic City,1,300,Delivery
Yes,No,3.700448817952718,0,Nagawara,2,200,Delivery
No,No,3.3,6,Rajajinagar,1,400,Dine-out
Yes,No,4.2,221,Whitefield,6,500,Delivery
Yes,No,4.1,105,HSR,3,800,Delivery
No,No,3.8,51,Malleshwaram,3,200,Desserts
No,No,3.1,31,BTM,3,400,Delivery
Yes,No,3.5,60,Frazer Town,2,300,Delivery
No,No,3.700448817952718,0,Marathahalli,2,300,Desserts
Yes,No,3.9,150,HSR,2,300,Delivery
Yes,No,3.9,346,Indiranagar,4,450,Delivery
Yes,Yes,3.9,1117,Whitefield,5,750,Delivery
Yes,No,4.1,389,Indiranagar,3,600,Delivery
Yes,No,4.1,118,Richmond Road,3,1000,Delivery
Yes,No,3.7,171,Bannerghatta Road,1,300,Delivery
Yes,No,3.1,13,Kalyan Nagar,1,400,Delivery
Yes,No,3.5,180,Marathahalli,4,800,Dine-out
No,Yes,4.1,102,Residency Road,3,1000,Delivery
Yes,No,3.7,34,Whitefield,3,300,Delivery
No,No,3.4,9,Electronic City,1,300,Delivery
No,No,3.2,6,Bellandur,3,400,Dine-out
Yes,No,3.8,25,Whitefield,2,500,Delivery
Yes,No,3.9,48,Brookefield,1,250,Delivery
Yes,No,3.1,223,BTM,2,500,Delivery
Yes,No,3.6,16,Koramangala 5th Block,3,500,Delivery
No,No,4.1,341,Brigade Road,3,300,Dine-out
No,No,3.3,6,JP Nagar,4,300,Delivery
Yes,No,4.1,212,Koramangala 8th Block,3,150,Delivery
Yes,No,3.4,7,Sarjapur Road,4,550,Dine-out
Yes,No,3.8,433,Whitefield,4,800,Dine-out
Yes,No,3.3,18,Jayanagar,1,100,Delivery
Yes,No,3.9,120,Bannerghatta Road,2,300,Dine-out
No,No,3.700448817952718,0,JP Nagar,2,150,Dine-out
Yes,No,3.8,51,Sarjapur Road,2,600,Dine-out
Yes,No,4.0,253,Jayanagar,2,300,Delivery
Yes,No,4.1,80,Commercial Street,5,350,Delivery
No,No,3.2,4,Basavanagudi,1,150,Delivery
No,Yes,4.0,61,HSR,1,300,Dine-out
Yes,No,3.700448817952718,0,Whitefield,1,200,Delivery
Yes,No,4.0,277,Kalyan Nagar,3,900,Dine-out
Yes,No,3.2,42,Koramangala 2nd Block,3,350,Delivery
No,No,3.700448817952718,0,Banaswadi,3,450,Dine-out
No,Yes,4.0,120,Sarjapur Road,2,1000,Delivery
Yes,Yes,4.1,218,Koramangala 5th Block,4,600,Dine-out
Yes,No,4.2,115,MG Road,2,500,Dine-out
Yes,No,3.2,8,Whitefield,1,400,Delivery
Yes,No,3.7,54,Frazer Town,1,300,Desserts
Yes,No,3.700448817952718,0,Electronic City,4,400,Delivery
Yes,No,4.1,53,JP Nagar,3,600,Desserts
Yes,No,3.5,58,Shanti Nagar,1,300,Delivery
No,Yes,3.7,96,Malleshwaram,3,1100,Drinks & nightlife
No,Yes,4.2,210,MG Road,4,1000,Pubs and bars
Yes,No,3.4,17,RT Nagar,3,200,Delivery
Yes,No,3.1,11,Koramangala 5th Block,2,300,Delivery
Yes,No,3.8,339,BTM,3,800,Delivery
Yes,No,4.0,114,Residency Road,1,650,Delivery
No,No,4.0,74,Kammanahalli,2,300,Cafes
No,No,3.7,21,Malleshwaram,1,300,Dine-out
Yes,No,3.7,71,BTM,1,300,Delivery
Yes,No,4.3,5352,Indiranagar,4,600,Delivery
Yes,No,3.8,342,HSR,4,400,Delivery
Yes,No,4.0,742,Whitefield,2,750,Delivery
Yes,Yes,4.1,1855,Koramangala 1st Block,4,600,Cafes
Yes,No,4.1,303,Jayanagar,2,200,Delivery
Yes,No,3.6,85,Marathahalli,1,600,Dine-out
Yes,No,3.8,53,Rajajinagar,2,600,Delivery
Yes,No,4.1,6937,Koramangala 5th Block,4,750,Dine-out
No,No,3.700448817952718,0,Whitefield,3,800,Dine-out
Yes,No,3.3,4,Electronic City,3,400,Desserts
Yes,No,3.3,7,Koramangala 1st Block,2,500,Delivery
No,No,4.1,2451,Koramangala 6th Block,4,700,Dine-out
Yes,No,3.6,10,Rajajinagar,2,400,Delivery
No,No,3.2,8,Majestic,1,150,Dine-out
No,No,3.4,11,Indiranagar,1,700,Dine-out
Yes,No,3.9,320,Rajajinagar,4,800,Dine-out
Yes,No,3.0,9,Brookefield,3,400,Delivery
Yes,No,3.9,52,BTM,3,300,Delivery
Yes,No,3.700448817952718,0,Marathahalli,3,250,Dine-out
Yes,No,3.4,7,South Bangalore,4,300,Delivery
Yes,No,3.8,33,Koramangala 5th Block,2,250,Delivery
Yes,Yes,4.2,493,Koramangala 5th Block,3,800,Cafes
Yes,No,3.3,42,BTM,1,500,Delivery
No,No,3.700448817952718,0,Banaswadi,4,400,Dine-out
Yes,No,3.7,71,Malleshwaram,3,150,Delivery
No,No,3.7,22,Frazer Town,2,200,Desserts
Yes,No,3.9,212,Jayanagar,3,500,Delivery
No,No,3.7,128,Bellandur,3,600,Dine-out
Yes,No,3.2,4,Whitefield,3,500,Delivery
Yes,No,3.2,9,Electronic City,2,500,Delivery
No,No,3.6,22,Domlur,2,600,Dine-out
Yes,No,3.1,24,Frazer Town,1,150,Delivery
No,Yes,3.9,165,JP Nagar,4,1000,Buffet
No,No,3.7,217,Basavanagudi,5,450,Dine-out
Yes,No,3.3,910,Koramangala 1st Block,2,250,Delivery
No,No,3.9,234,Langford Town,3,1000,Drinks & nightlife
No,No,3.700448817952718,0,Sadashiv Nagar,2,150,Dine-out
No,No,3.7,33,Banaswadi,2,500,Cafes
No,No,3.700448817952718,0,Ejipura,2,150,Delivery
Yes,No,3.2,5,Commercial Street,3,300,Dine-out
Yes,No,4.2,93,Brigade Road,2,300,Delivery
Yes,No,3.1,19,Marathahalli,3,600,Delivery
Yes,No,3.7,455,HSR,2,400,Delivery
No,No,3.3,4,New BEL Road,1,300,Delivery
Yes,No,3.700448817952718,0,Brookefield,1,200,Delivery
Yes,No,3.700448817952718,0,Ulsoor,2,200,Delivery
No,No,4.5,2896,Basavanagudi,1,250,Dine-out
Yes,No,3.9,185,BTM,2,250,Delivery
No,No,4.0,109,Richmond Road,2,300,Dine-out
Yes,No,3.3,13,BTM,2,250,Delivery
Yes,No,3.3,31,Bannerghatta Road,3,500,Delivery
Yes,No,4.0,117,Electronic City,1,300,Delivery
No,No,3.5,40,Indiranagar,1,400,Delivery
No,No,4.0,134,Indiranagar,4,600,Dine-out
Yes,No,3.7,23,Hennur,2,300,Delivery
Yes,No,3.4,25,Koramangala 4th Block,3,400,Dine-out
No,No,3.2,4,Rajajinagar,2,400,Delivery
Yes,Yes,3.9,202,HSR,3,500,Cafes
Yes,No,4.0,1633,Whitefield,4,800,Dine-out
No,Yes,4.1,2303,Jayanagar,2,950,Delivery
Yes,No,4.2,175,Marathahalli,4,1000,Delivery
Yes,No,4.2,174,Commercial Street,3,800,Dine-out
Yes,Yes,3.9,1437,Indiranagar,1,1000,Dine-out
No,No,3.3,11,Bellandur,1,150,Dine-out
Yes,No,3.9,139,BTM,2,300,Dine-out
Yes,No,3.8,268,Rajajinagar,2,250,Dine-out
Yes,No,3.6,45,Koramangala 1st Block,2,700,Delivery
Yes,Yes,3.8,189,Sarjapur Road,5,800,Delivery
Yes,No,3.700448817952718,0,Bannerghatta Road,1,400,Delivery
Yes,No,3.1,40,Sarjapur Road,1,350,Delivery
Yes,No,3.9,100,HSR,2,450,Delivery
Yes,Yes,4.0,803,HSR,3,700,Dine-out
Yes,No,4.2,100,Koramangala 7th Block,3,900,Cafes
No,Yes,4.2,731,Jayanagar,8,800,Dine-out
Yes,No,3.8,50,BTM,3,250,Dine-out
No,No,4.2,261,Indiranagar,2,500,Dine-out
Yes,No,4.1,398,HSR,2,450,Desserts
Yes,No,3.7,353,Whitefield,2,700,Delivery
Yes,No,3.4,8,Basaveshwara Nagar,3,200,Delivery
Yes,No,3.6,218,BTM,3,600,Delivery
Yes,No,4.2,131,Brigade Road,2,180,Desserts
No,No,3.700448817952718,0,Marathahalli,1,150,Delivery
No,No,3.4,67,Whitefield,2,450,Delivery
No,No,3.700448817952718,0,Wilson Garden,2,150,Desserts
Yes,No,3.3,15,Bannerghatta Road,1,350,Delivery
No,No,3.700448817952718,0,Electronic City,1,350,Delivery
Yes,No,3.7,94,Kammanahalli,2,400,Dine-out
Yes,Yes,4.0,157,Marathahalli,3,800,Dine-out
Yes,No,3.8,18,Brigade Road,4,200,Delivery
No,No,3.700448817952718,0,Bannerghatta Road,1,300,Delivery
Yes,No,3.9,368,HSR,4,550,Dine-out
No,No,3.700448817952718,0,Kalyan Nagar,3,300,Delivery
Yes,No,3.2,58,New BEL Road,2,900,Dine-out
Yes,Yes,4.0,797,HSR,3,700,Delivery
Yes,No,3.8,59,Commercial Street,2,300,Dine-out
No,No,3.700448817952718,0,Indiranagar,3,300,Delivery
Yes,No,4.0,65,Electronic City,3,200,Delivery
Yes,No,4.0,70,Koramangala 7th Block,1,400,Delivery
Yes,No,3.9,366,Residency Road,5,800,Dine-out
No,No,3.3,5,Rajajinagar,2,200,Delivery
Yes,No,3.9,57,Kumaraswamy Layout,2,350,Delivery
Yes,No,3.7,28,Jayanagar,4,200,Delivery
Yes,No,3.9,126,Jayanagar,3,400,Dine-out
Yes,No,3.9,85,JP Nagar,1,300,Delivery
Yes,No,3.2,4,Malleshwaram,3,250,Dine-out
Yes,No,3.1,7,Brigade Road,1,150,Delivery
No,No,3.6,13,Bannerghatta Road,1,700,Delivery
No,No,3.700448817952718,0,HSR,2,600,Dine-out
Yes,No,3.0,6,Bannerghatta Road,2,400,Delivery
No,No,3.700448817952718,0,Electronic City,3,300,Dine-out
Yes,No,3.7,182,Bellandur,5,400,Dine-out
No,No,3.5,12,Banashankari,1,100,Dine-out
No,Yes,4.0,2159,Koramangala 5th Block,5,1000,Drinks & nightlife
No,No,4.3,449,Koramangala 5th Block,3,400,Delivery
Yes,No,3.6,26,Marathahalli,2,250,Dine-out
Yes,No,3.8,918,Banashankari,3,800,Dine-out
Yes,No,3.8,86,Koramangala 1st Block,2,100,Desserts
No,No,3.7,70,Jeevan Bhima Nagar,2,200,Dine-out
No,No,3.8,36,HSR,1,650,Dine-out
No,No,3.700448817952718,0,Sarjapur Road,3,300,Dine-out
Yes,No,3.700448817952718,0,Malleshwaram,3,300,Delivery
No,No,3.700448817952718,0,Whitefield,5,300,Dine-out
Yes,No,3.9,358,Vijay Nagar,3,850,Delivery
No,No,3.6,19,Bannerghatta Road,2,900,Dine-out
No,No,3.700448817952718,0,BTM,3,200,Dine-out
No,No,3.3,13,Vasanth Nagar,3,600,Dine-out
Yes,No,3.8,264,Koramangala 7th Block,2,650,Dine-out
Yes,No,3.9,139,BTM,2,300,Delivery
Yes,No,3.9,135,Banashankari,3,800,Delivery
No,No,3.0,79,Bellandur,2,400,Delivery
No,No,4.2,697,St. Marks Road,1,300,Dine-out
Yes,No,3.3,11,Kaggadasapura,1,250,Delivery
Yes,No,3.1,175,Bannerghatta Road,1,250,Dine-out
Yes,No,3.3,26,BTM,2,300,Delivery
Yes,No,4.2,150,Jayanagar,1,800,Delivery
No,No,3.5,8,Rajajinagar,1,400,Cafes
Yes,No,3.8,23,Koramangala 5th Block,3,600,Dine-out
No,No,3.700448817952718,0,Koramangala 1st Block,1,400,Cafes
Yes,No,4.3,569,Ulsoor,5,700,Desserts
No,No,3.5,22,Sarjapur Road,1,200,Dine-out
No,No,3.7,126,BTM,1,200,Delivery
Yes,No,3.6,28,BTM,2,450,Delivery
No,Yes,4.4,133,Lavelle Road,4,1000,Drinks & nightlife
Yes,No,3.8,65,Kammanahalli,3,400,Dine-out
Yes,No,3.5,21,Indiranagar,1,500,Dine-out
Yes,No,4.0,244,Marathahalli,4,200,Delivery
Yes,No,4.0,108,Koramangala 1st Block,1,500,Dine-out
Yes,No,4.1,91,JP Nagar,2,500,Delivery
Yes,No,3.4,4,Brigade Road,2,150,Delivery
Yes,No,3.2,49,BTM,2,300,Dine-out
Yes,No,3.8,23,Koramangala 5th Block,1,400,Desserts
Yes,Yes,4.3,104,Koramangala 8th Block,3,700,Desserts
Yes,No,3.3,15,Sarjapur Road,2,300,Delivery
No,No,3.8,51,Race Course Road,1,150,Dine-out
Yes,No,3.7,26,Koramangala 6th Block,2,400,Dine-out
Yes,No,3.6,42,BTM,2,350,Dine-out
Yes,No,3.8,35,Bellandur,3,650,Dine-out
No,Yes,4.1,559,Brigade Road,1,1100,Drinks & nightlife
Yes,Yes,4.4,9080,Koramangala 4th Block,3,600,Buffet
Yes,No,3.7,38,Electronic City,1,400,Dine-out
Yes,Yes,4.0,151,Koramangala 2nd Block,8,1100,Buffet
No,No,3.700448817952718,0,Kalyan Nagar,1,300,Dine-out
No,No,3.4,28,Kalyan Nagar,3,900,Dine-out
Yes,No,3.5,7,HSR,1,100,Delivery
No,No,3.5,11,Banashankari,4,300,Dine-out
Yes,No,4.3,156,Indiranagar,4,600,Delivery
Yes,No,3.3,38,Banaswadi,1,150,Delivery
Yes,No,4.4,635,Residency Road,2,400,Delivery
Yes,No,3.3,395,Koramangala 7th Block,1,400,Delivery
No,No,3.700448817952718,0,Basavanagudi,1,300,Dine-out
No,No,3.700448817952718,0,Indiranagar,1,150,Dine-out
No,No,3.700448817952718,0,BTM,2,200,Delivery
No,No,3.5,10,JP Nagar,3,400,Dine-out
Yes,No,3.700448817952718,0,Electronic City,4,550,Dine-out
No,Yes,4.1,1737,Church Street,4,1000,Cafes
No,No,4.0,164,BTM,2,150,Desserts
Yes,Yes,4.2,2859,Residency Road,7,800,Desserts
No,No,3.700448817952718,0,Frazer Town,2,250,Delivery
No,No,3.700448817952718,0,Bannerghatta Road,2,400,Desserts
No,No,3.700448817952718,0,Bommanahalli,2,400,Dine-out
No,No,3.700448817952718,0,Bannerghatta Road,2,400,Dine-out
Yes,No,3.8,324,Malleshwaram,3,650,Delivery
No,No,3.9,29,Indiranagar,1,150,Dine-out
No,No,3.6,33,City Market,3,500,Delivery
Yes,No,4.2,469,BTM,3,400,Dine-out
Yes,No,3.9,455,Koramangala 6th Block,1,1000,Delivery
Yes,No,3.4,6,BTM,2,200,Delivery
Yes,No,4.0,152,Bellandur,2,400,Dine-out
No,No,3.700448817952718,0,Whitefield,3,400,Delivery
Yes,Yes,4.0,1129,Indiranagar,1,1000,Delivery
Yes,No,3.4,6,Indiranagar,2,300,Delivery
Yes,No,3.3,89,Ulsoor,3,350,Dine-out
Yes,No,3.8,83,"ITPL Main Road, Whitefield",2,500,Dine-out
Yes,No,3.6,20,Sarjapur Road,1,200,Delivery
Yes,No,3.5,8,Jeevan Bhima Nagar,2,400,Desserts
Yes,No,3.700448817952718,0,Koramangala,1,400,Delivery
Yes,No,3.700448817952718,0,HSR,1,300,Dine-out
No,No,3.700448817952718,0,"Varthur Main Road, Whitefield",4,400,Delivery
No,No,3.6,31,KR Puram,2,400,Dine-out
